id,employeeId,courseName,certificationLink,skills,courseDepartment,status,certificationDate
CERT1,JMD1,Applied ML,http://www.campos.com/,Applied ML,Data Science,Accept,2023-01-24
CERT2,JMD1,Big Data,https://wagner.com/,Big Data,Data Science,Reject,2023-03-20
CERT3,JMD1,GCP,https://jackson.biz/,GCP,Cloud,Reject,2024-07-24
CERT4,JMD1,Redis,http://www.white.com/,Redis,Cloud,Reject,2022-11-11
CERT5,JMD2,Applied ML,http://fleming.com/,Applied ML,Data Science,Accept,2023-01-07
CERT6,JMD2,Laravel,http://butler-elliott.info/,Laravel,Development,Reject,2024-01-18
CERT7,JMD3,Web Scraping,https://www.quinn.biz/,Web Scraping,Data Engineering,Reject,2023-10-08
CERT8,JMD3,DBT,https://www.murray.biz/,DBT,Data Engineering,Accept,2023-11-22
CERT9,JMD3,AWS,http://russell.info/,AWS,Cloud,Accept,2023-03-18
CERT10,JMD4,MySQL,http://www.gomez-rodriguez.biz/,MySQL,Data Engineering,Reject,2024-06-16
CERT11,JMD4,Redis,https://wilson-pierce.com/,Redis,Cloud,Reject,2022-11-11
CERT12,JMD4,AWS,http://morris-kline.info/,AWS,Cloud,Reject,2024-02-01
CERT13,JMD5,Redis,http://anderson.com/,Redis,Cloud,Reject,2023-07-12
CERT14,JMD5,Azure,http://ramirez-morgan.com/,Azure,Cloud,Accept,2024-07-23
CERT15,JMD5,GCP,https://www.bell.com/,GCP,Cloud,Accept,2023-08-10
CERT16,JMD5,Applied ML,http://williams.com/,Applied ML,Data Science,Reject,2023-01-06
CERT17,JMD5,Big Data,https://www.kelly-morgan.net/,Big Data,Data Science,Reject,2024-09-01
CERT18,JMD5,Python,https://www.mccall.info/,Python,Data Science,Accept,2023-07-31
CERT19,JMD6,Web Scraping,http://ramsey-ellis.com/,Web Scraping,Data Engineering,Accept,2024-06-05
CERT20,JMD6,SnowFlake,https://mcdonald.org/,SnowFlake,Data Engineering,Accept,2023-09-21
CERT21,JMD6,Azure,http://carlson-butler.com/,Azure,Cloud,Reject,2024-09-08
CERT22,JMD6,Redis,https://www.cox-davis.net/,Redis,Cloud,Reject,2023-04-24
CERT23,JMD6,GCP,https://www.edwards.info/,GCP,Cloud,Accept,2024-05-26
CERT24,JMD7,Angular,http://www.gill-johnson.com/,Angular,Development,Accept,2023-02-06
CERT25,JMD7,Big Data,https://www.soto.com/,Big Data,Data Science,Accept,2024-05-19
CERT26,JMD7,Python,http://www.collins-miller.biz/,Python,Data Science,Accept,2024-03-08
CERT27,JMD7,Applied ML,http://www.gross-baker.info/,Applied ML,Data Science,Reject,2024-02-23
CERT28,JMD8,Applied ML,https://www.wilson.com/,Applied ML,Data Science,Accept,2023-08-02
CERT29,JMD8,GCP,https://www.lewis.net/,GCP,Cloud,Accept,2023-10-04
CERT30,JMD8,AWS,http://www.wright-key.org/,AWS,Cloud,Accept,2023-10-26
CERT31,JMD8,Redis,https://jones.com/,Redis,Cloud,Accept,2024-08-25
CERT32,JMD9,MySQL,http://www.shelton.com/,MySQL,Data Engineering,Reject,2022-11-25
CERT33,JMD9,Web Scraping,https://moore.com/,Web Scraping,Data Engineering,Accept,2023-04-02
CERT34,JMD9,Reactjs,https://www.walters.com/,Reactjs,Development,Reject,2023-04-27
CERT35,JMD9,Next Js,https://www.gray-snyder.com/,Next Js,Development,Reject,2023-08-30
CERT36,JMD9,Angular,https://hill.org/,Angular,Development,Accept,2023-08-26
CERT37,JMD10,Big Data,https://burke.com/,Big Data,Data Science,Reject,2023-11-14
CERT38,JMD10,Applied ML,https://www.lewis.com/,Applied ML,Data Science,Reject,2022-10-13
CERT39,JMD10,Python,https://mcclure-west.org/,Python,Data Science,Reject,2022-11-28
CERT40,JMD11,SnowFlake,http://www.dennis.com/,SnowFlake,Data Engineering,Accept,2024-09-27
CERT41,JMD12,AWS,https://li.info/,AWS,Cloud,Reject,2022-12-12
CERT42,JMD13,Applied ML,https://www.rodriguez-white.info/,Applied ML,Data Science,Accept,2022-12-14
CERT43,JMD13,Python,http://www.gonzalez-fleming.net/,Python,Data Science,Accept,2024-04-18
CERT44,JMD13,Big Data,https://www.mccann.com/,Big Data,Data Science,Reject,2024-05-06
CERT45,JMD13,SnowFlake,https://www.leonard.info/,SnowFlake,Data Engineering,Reject,2023-05-03
CERT46,JMD13,MySQL,https://www.morgan.com/,MySQL,Data Engineering,Reject,2024-02-01
CERT47,JMD13,Python,http://www.larson.com/,Python,Data Engineering,Reject,2023-03-16
CERT48,JMD14,Applied ML,https://www.bell.com/,Applied ML,Data Science,Accept,2023-11-05
CERT49,JMD14,Big Data,http://www.martinez.info/,Big Data,Data Science,Reject,2023-10-15
CERT50,JMD14,Next Js,http://perry.com/,Next Js,Development,Accept,2023-01-28
CERT51,JMD14,React Native,https://holder.com/,React Native,Development,Accept,2023-04-13
CERT52,JMD14,Node,http://walker.com/,Node,Development,Accept,2024-03-31
CERT53,JMD15,Python,http://www.thompson.com/,Python,Data Science,Reject,2023-05-16
CERT54,JMD16,Azure,http://david.net/,Azure,Cloud,Accept,2023-09-14
CERT55,JMD16,GCP,http://www.hutchinson.org/,GCP,Cloud,Reject,2024-04-18
CERT56,JMD16,AWS,http://www.kidd.com/,AWS,Cloud,Accept,2024-09-14
CERT57,JMD17,Web Scraping,http://www.patterson.com/,Web Scraping,Data Engineering,Reject,2023-01-12
CERT58,JMD17,DBT,http://adkins.net/,DBT,Data Engineering,Reject,2023-12-19
CERT59,JMD17,Data Bricks,http://www.gonzales.com/,Data Bricks,Data Engineering,Reject,2024-02-12
CERT60,JMD18,Applied ML,https://thornton.info/,Applied ML,Data Science,Accept,2023-01-20
CERT61,JMD18,GCP,http://martin.info/,GCP,Cloud,Accept,2023-12-11
CERT62,JMD18,AWS,https://www.lucas-figueroa.biz/,AWS,Cloud,Reject,2023-07-02
CERT63,JMD19,Flutter,https://phillips.com/,Flutter,Development,Accept,2022-10-31
CERT64,JMD19,Node,https://www.campbell.org/,Node,Development,Reject,2024-01-08
CERT65,JMD19,Applied ML,https://www.moore-campbell.com/,Applied ML,Data Science,Reject,2023-04-13
CERT66,JMD19,Python,https://ramos-schroeder.info/,Python,Data Science,Accept,2023-11-28
CERT67,JMD19,Big Data,http://miller-smith.biz/,Big Data,Data Science,Accept,2023-08-16
CERT68,JMD20,AWS,http://hill.com/,AWS,Cloud,Reject,2024-01-27
CERT69,JMD20,Azure,http://www.mcbride-cowan.com/,Azure,Cloud,Accept,2024-08-21
CERT70,JMD21,AWS,https://www.lewis.com/,AWS,Cloud,Reject,2022-11-20
CERT71,JMD22,Angular,http://smith.biz/,Angular,Development,Reject,2024-02-06
CERT72,JMD22,Flutter,http://www.cummings.com/,Flutter,Development,Accept,2022-12-16
