id,employeeId,skillset,courseDepartment,status,certification_score
SK1,JMD1,"Applied ML, Big Data",Data Science,Accept,160
SK2,JMD1,"GCP, Redis",Cloud,Reject,0
SK3,JMD2,Applied ML,Data Science,Accept,80
SK4,JMD2,Laravel,Development,Reject,0
SK5,JMD3,"Web Scraping, DBT",Data Engineering,Accept,160
SK6,JMD3,AWS,Cloud,Accept,80
SK7,JMD4,MySQL,Data Engineering,Reject,0
SK8,JMD4,"Redis, AWS",Cloud,Reject,0
SK9,JMD5,"Redis, Azure, GCP",Cloud,Accept,240
SK10,JMD5,"Applied ML, Big Data, Python",Data Science,Accept,240
SK11,JMD6,"Web Scraping, SnowFlake",Data Engineering,Accept,160
SK12,JMD6,"Azure, Redis, GCP",Cloud,Accept,240
SK13,JMD7,Angular,Development,Accept,80
SK14,JMD7,"Big Data, Python, Applied ML",Data Science,Accept,240
SK15,JMD8,Applied ML,Data Science,Accept,80
SK16,JMD8,"GCP, AWS, Redis",Cloud,Accept,240
SK17,JMD9,"MySQL, Web Scraping",Data Engineering,Accept,160
SK18,JMD9,"Reactjs, Next Js, Angular",Development,Accept,240
SK19,JMD10,"Big Data, Applied ML, Python",Data Science,Reject,0
SK20,JMD11,SnowFlake,Data Engineering,Accept,80
SK21,JMD12,AWS,Cloud,Reject,0
SK22,JMD13,"Applied ML, Python, Big Data",Data Science,Accept,240
SK23,JMD13,"SnowFlake, MySQL, Python",Data Engineering,Reject,0
SK24,JMD14,"Applied ML, Big Data",Data Science,Accept,160
SK25,JMD14,"Next Js, React Native, Node",Development,Accept,240
SK26,JMD15,Python,Data Science,Reject,0
SK27,JMD16,"Azure, GCP, AWS",Cloud,Accept,240
SK28,JMD17,"Web Scraping, DBT, Data Bricks",Data Engineering,Reject,0
SK29,JMD18,Applied ML,Data Science,Accept,80
SK30,JMD18,"GCP, AWS",Cloud,Accept,160
SK31,JMD19,"Flutter, Node",Development,Accept,160
SK32,JMD19,"Applied ML, Python, Big Data",Data Science,Accept,240
SK33,JMD20,"AWS, Azure",Cloud,Accept,160
SK34,JMD21,AWS,Cloud,Reject,0
SK35,JMD22,"Angular, Flutter",Development,Accept,160
SK36,JMD22,"Redis, Azure, AWS",Cloud,Accept,240
SK37,JMD23,Python,Data Engineering,Accept,80
SK38,JMD24,Python,Data Science,Accept,80
SK39,JMD25,"Reactjs, React Native",Development,Accept,160
SK40,JMD25,"MySQL, Python, DBT",Data Engineering,Accept,240
SK41,JMD26,"DBT, Python, SnowFlake",Data Engineering,Accept,240
SK42,JMD27,Node,Development,Accept,80
SK43,JMD28,Big Data,Data Science,Accept,80
SK44,JMD29,"Azure, Redis, GCP",Cloud,Accept,240
SK45,JMD30,Applied ML,Data Science,Accept,80
SK46,JMD30,"Redis, Azure",Cloud,Accept,160
SK47,JMD31,Flutter,Development,Reject,0
SK48,JMD32,"Python, Web Scraping, DBT",Data Engineering,Accept,240
SK49,JMD32,"Node, Angular, Flutter",Development,Reject,0
SK50,JMD33,"Next Js, Angular, Flutter",Development,Accept,240
SK51,JMD34,Azure,Cloud,Reject,0
SK52,JMD34,"Angular, Laravel, Flutter",Development,Accept,240
SK53,JMD35,"Python, Web Scraping",Data Engineering,Accept,160
SK54,JMD35,"GCP, AWS, Redis",Cloud,Accept,240
SK55,JMD36,"Python, Applied ML",Data Science,Reject,0
SK56,JMD37,"Applied ML, Big Data, Python",Data Science,Accept,240
SK57,JMD38,GCP,Cloud,Reject,0
SK58,JMD38,"Web Scraping, MySQL",Data Engineering,Accept,160
SK59,JMD39,"Data Bricks, DBT",Data Engineering,Accept,160
SK60,JMD39,"Big Data, Applied ML",Data Science,Accept,160
SK61,JMD40,"Big Data, Applied ML",Data Science,Accept,160
SK62,JMD41,Azure,Cloud,Reject,0
SK63,JMD42,AWS,Cloud,Reject,0
SK64,JMD43,Applied ML,Data Science,Reject,0
SK65,JMD43,"Reactjs, Next Js, Angular",Development,Accept,240
SK66,JMD44,"Redis, AWS, Azure",Cloud,Accept,240
SK67,JMD44,"SnowFlake, Python, DBT",Data Engineering,Accept,240
SK68,JMD45,Big Data,Data Science,Reject,0
SK69,JMD45,"Web Scraping, MySQL",Data Engineering,Accept,160
SK70,JMD46,Python,Data Science,Accept,80
SK71,JMD47,"React Native, Angular",Development,Reject,0
SK72,JMD47,Python,Data Science,Accept,80
SK73,JMD48,Web Scraping,Data Engineering,Accept,80
SK74,JMD48,"Angular, Reactjs, Flutter",Development,Accept,240
SK75,JMD49,"Azure, AWS, Redis",Cloud,Accept,240
SK76,JMD50,"AWS, Redis, GCP",Cloud,Accept,240
SK77,JMD51,DBT,Data Engineering,Reject,0
SK78,JMD52,Applied ML,Data Science,Accept,80
SK79,JMD53,"Flutter, Angular, Node",Development,Accept,240
SK80,JMD54,"Angular, Laravel, Flutter",Development,Accept,240
SK81,JMD55,"GCP, Redis",Cloud,Accept,160
SK82,JMD56,"Angular, Node",Development,Accept,160
SK83,JMD57,"MySQL, Python, SnowFlake",Data Engineering,Accept,240
SK84,JMD58,"Laravel, Node, Next Js",Development,Reject,0
SK85,JMD58,"Azure, GCP, Redis",Cloud,Accept,240
SK86,JMD59,SnowFlake,Data Engineering,Reject,0
SK87,JMD59,AWS,Cloud,Accept,80
SK88,JMD60,"Applied ML, Python, Big Data",Data Science,Accept,240
SK89,JMD60,"GCP, AWS",Cloud,Accept,160
SK90,JMD61,"AWS, Redis",Cloud,Accept,160
SK91,JMD62,"Next Js, Laravel",Development,Accept,160
SK92,JMD62,AWS,Cloud,Reject,0
SK93,JMD63,"Laravel, Node",Development,Accept,160
SK94,JMD64,"Node, Next Js, Reactjs",Development,Accept,240
SK95,JMD65,"Azure, GCP",Cloud,Accept,160
SK96,JMD65,Reactjs,Development,Reject,0
SK97,JMD66,Data Bricks,Data Engineering,Reject,0
SK98,JMD66,"Applied ML, Big Data, Python",Data Science,Accept,240
SK99,JMD67,"Python, Data Bricks, MySQL",Data Engineering,Accept,240
SK100,JMD68,"MySQL, Data Bricks",Data Engineering,Accept,160
SK101,JMD69,"Data Bricks, Web Scraping",Data Engineering,Accept,160
SK102,JMD69,"GCP, Azure",Cloud,Reject,0
SK103,JMD70,Python,Data Science,Reject,0
SK104,JMD70,GCP,Cloud,Reject,0
SK105,JMD71,"Big Data, Python",Data Science,Accept,160
SK106,JMD71,"AWS, Azure",Cloud,Reject,0
SK107,JMD72,"Azure, AWS",Cloud,Accept,160
SK108,JMD73,"Data Bricks, DBT, SnowFlake",Data Engineering,Accept,240
SK109,JMD74,Laravel,Development,Reject,0
SK110,JMD74,Python,Data Engineering,Reject,0
SK111,JMD75,"Python, Applied ML",Data Science,Reject,0
SK112,JMD76,"Python, Big Data",Data Science,Accept,160
SK113,JMD76,"Web Scraping, DBT",Data Engineering,Reject,0
SK114,JMD77,"Reactjs, Angular",Development,Accept,160
SK115,JMD78,"Laravel, Reactjs, Flutter",Development,Accept,240
SK116,JMD79,"SnowFlake, Python",Data Engineering,Accept,160
SK117,JMD80,"Redis, Azure",Cloud,Accept,160
SK118,JMD81,"Python, Web Scraping, Data Bricks",Data Engineering,Accept,240
SK119,JMD81,Node,Development,Accept,80
SK120,JMD82,Python,Data Engineering,Accept,80
SK121,JMD83,GCP,Cloud,Reject,0
SK122,JMD83,"Python, Applied ML, Big Data",Data Science,Accept,240
SK123,JMD84,"SnowFlake, MySQL, DBT",Data Engineering,Accept,240
SK124,JMD84,"AWS, Azure, Redis",Cloud,Accept,240
SK125,JMD85,"GCP, Redis, AWS",Cloud,Accept,240
SK126,JMD86,"AWS, Redis",Cloud,Accept,160
SK127,JMD87,"DBT, Data Bricks, MySQL",Data Engineering,Accept,240
SK128,JMD87,"Applied ML, Big Data",Data Science,Reject,0
SK129,JMD88,"Next Js, Flutter",Development,Accept,160
SK130,JMD88,"Big Data, Applied ML",Data Science,Accept,160
SK131,JMD89,"GCP, Azure",Cloud,Accept,160
SK132,JMD89,"Reactjs, Next Js",Development,Accept,160
SK133,JMD90,"Data Bricks, MySQL",Data Engineering,Accept,160
SK134,JMD90,"Azure, AWS",Cloud,Accept,160
SK135,JMD91,"Reactjs, Node",Development,Accept,160
SK136,JMD92,"Web Scraping, DBT",Data Engineering,Accept,160
SK137,JMD93,"React Native, Reactjs",Development,Reject,0
SK138,JMD93,"Azure, Redis",Cloud,Accept,160
SK139,JMD94,"Web Scraping, MySQL, Python",Data Engineering,Accept,240
SK140,JMD95,"Flutter, Laravel",Development,Accept,160
SK141,JMD96,"Redis, GCP",Cloud,Accept,160
SK142,JMD96,"Flutter, React Native, Laravel",Development,Accept,240
SK143,JMD97,Reactjs,Development,Accept,80
SK144,JMD97,"Azure, Redis",Cloud,Reject,0
SK145,JMD98,GCP,Cloud,Accept,80
SK146,JMD99,"Laravel, Node",Development,Reject,0
