id,employeeId,assessmentId,courseName,skill,courseDepartment,testScore,status,noOfAttempts
SKS2,JMD1,ASSESS1,Flutter,Flutter,Development,85.5031545741325,Accept,3
SKS5,JMD1,ASSESS3,Reactjs,Reactjs,Development,89.0,Accept,3
SKS8,JMD1,ASSESS4,Azure,Azure,Cloud,76.0,Accept,1
SKS13,JMD2,ASSESS3,SnowFlake,SnowFlake,Data Engineering,92.0,Accept,3
SKS15,JMD2,ASSESS4,Azure,Azure,Cloud,98.0,Accept,2
SKS16,JMD2,ASSESS4,Redis,Redis,Cloud,81.0,Accept,2
SKS17,JMD2,ASSESS4,GCP,GCP,Cloud,86.0,Accept,3
SKS18,JMD2,ASSESS5,Flutter,Flutter,Development,89.0,Accept,1
SKS19,JMD3,ASSESS1,Big Data,Big Data,Data Science,75.0,Accept,1
SKS21,JMD3,ASSESS2,Python,Python,Data Science,90.0,Accept,1
SKS23,JMD3,ASSESS3,Python,Python,Data Engineering,73.0,Accept,1
SKS24,JMD3,ASSESS3,Web Scraping,Web Scraping,Data Engineering,84.0,Accept,1
SKS25,JMD3,ASSESS4,Big Data,Big Data,Data Science,100.0,Accept,3
SKS26,JMD3,ASSESS4,Applied ML,Applied ML,Data Science,89.0,Accept,2
SKS28,JMD3,ASSESS5,Reactjs,Reactjs,Development,73.0,Accept,3
SKS30,JMD4,ASSESS1,Web Scraping,Web Scraping,Data Engineering,82.0,Accept,1
SKS31,JMD4,ASSESS1,Data Bricks,Data Bricks,Data Engineering,96.0,Accept,3
SKS33,JMD4,ASSESS2,GCP,GCP,Cloud,99.0,Accept,3
SKS34,JMD4,ASSESS2,Azure,Azure,Cloud,94.0,Accept,2
SKS35,JMD4,ASSESS3,Python,Python,Data Science,95.0,Accept,2
SKS37,JMD4,ASSESS4,Node,Node,Development,76.0,Accept,2
SKS39,JMD4,ASSESS5,GCP,GCP,Cloud,99.0,Accept,3
SKS40,JMD4,ASSESS5,Redis,Redis,Cloud,89.0,Accept,2
SKS42,JMD5,ASSESS1,Applied ML,Applied ML,Data Science,99.0,Accept,1
SKS43,JMD5,ASSESS2,Reactjs,Reactjs,Development,90.0,Accept,2
SKS45,JMD5,ASSESS4,Azure,Azure,Cloud,79.0,Accept,3
SKS49,JMD6,ASSESS1,AWS,AWS,Cloud,83.0,Accept,2
SKS51,JMD6,ASSESS3,AWS,AWS,Cloud,73.0,Accept,3
SKS52,JMD6,ASSESS3,Redis,Redis,Cloud,90.0,Accept,2
SKS57,JMD7,ASSESS2,Big Data,Big Data,Data Science,71.0,Accept,3
SKS59,JMD7,ASSESS3,Angular,Angular,Development,94.0,Accept,2
SKS61,JMD7,ASSESS3,Reactjs,Reactjs,Development,99.0,Accept,3
SKS62,JMD7,ASSESS4,GCP,GCP,Cloud,99.0,Accept,1
SKS64,JMD7,ASSESS5,Node,Node,Development,72.0,Accept,2
SKS65,JMD8,ASSESS1,React Native,React Native,Development,76.0,Accept,2
SKS68,JMD8,ASSESS2,Applied ML,Applied ML,Data Science,95.0,Accept,3
SKS69,JMD8,ASSESS3,MySQL,MySQL,Data Engineering,80.0,Accept,1
SKS71,JMD8,ASSESS5,AWS,AWS,Cloud,79.0,Accept,2
SKS74,JMD9,ASSESS1,Azure,Azure,Cloud,74.0,Accept,2
SKS75,JMD9,ASSESS1,AWS,AWS,Cloud,77.0,Accept,2
SKS77,JMD9,ASSESS2,Big Data,Big Data,Data Science,99.0,Accept,3
SKS80,JMD9,ASSESS5,Redis,Redis,Cloud,100.0,Accept,3
SKS81,JMD10,ASSESS1,Redis,Redis,Cloud,95.0,Accept,2
SKS83,JMD10,ASSESS3,Redis,Redis,Cloud,82.0,Accept,2
SKS84,JMD10,ASSESS3,Azure,Azure,Cloud,99.0,Accept,1
SKS87,JMD10,ASSESS4,AWS,AWS,Cloud,82.0,Accept,3
SKS91,JMD11,ASSESS1,Next Js,Next Js,Development,97.0,Accept,1
SKS94,JMD11,ASSESS3,MySQL,MySQL,Data Engineering,72.0,Accept,3
SKS95,JMD11,ASSESS3,DBT,DBT,Data Engineering,75.0,Accept,1
SKS98,JMD11,ASSESS5,Big Data,Big Data,Data Science,82.0,Accept,3
