id,employeeId,courseName,skills,courseDepartment,certificationLink,status
CERT2,JMD1,Big Data,Big Data,Data Science,https://wagner.com/,Reject
CERT3,JMD1,GCP,GCP,Cloud,https://jackson.biz/,Reject
CERT4,JMD1,Redis,Redis,Cloud,http://www.white.com/,Reject
CERT6,JMD2,Laravel,Laravel,Development,http://butler-elliott.info/,Reject
CERT7,JMD3,Web Scraping,Web Scraping,Data Engineering,https://www.quinn.biz/,Reject
CERT10,JMD4,MySQL,MySQL,Data Engineering,http://www.gomez-rodriguez.biz/,Reject
CERT11,JMD4,Redis,Redis,Cloud,https://wilson-pierce.com/,Reject
CERT12,JMD4,AWS,AWS,Cloud,http://morris-kline.info/,Reject
CERT13,JMD5,Redis,Redis,Cloud,http://anderson.com/,Reject
CERT16,JMD5,Applied ML,Applied ML,Data Science,http://williams.com/,Reject
CERT17,JMD5,Big Data,Big Data,Data Science,https://www.kelly-morgan.net/,Reject
CERT21,JMD6,Azure,Azure,Cloud,http://carlson-butler.com/,Reject
CERT22,JMD6,Redis,Redis,Cloud,https://www.cox-davis.net/,Reject
CERT27,JMD7,Applied ML,Applied ML,Data Science,http://www.gross-baker.info/,Reject
CERT32,JMD9,MySQL,MySQL,Data Engineering,http://www.shelton.com/,Reject
CERT34,JMD9,Reactjs,Reactjs,Development,https://www.walters.com/,Reject
CERT35,JMD9,Next Js,Next Js,Development,https://www.gray-snyder.com/,Reject
CERT37,JMD10,Big Data,Big Data,Data Science,https://burke.com/,Reject
CERT38,JMD10,Applied ML,Applied ML,Data Science,https://www.lewis.com/,Reject
CERT39,JMD10,Python,Python,Data Science,https://mcclure-west.org/,Reject
CERT41,JMD12,AWS,AWS,Cloud,https://li.info/,Reject
CERT44,JMD13,Big Data,Big Data,Data Science,https://www.mccann.com/,Reject
CERT45,JMD13,SnowFlake,SnowFlake,Data Engineering,https://www.leonard.info/,Reject
CERT46,JMD13,MySQL,MySQL,Data Engineering,https://www.morgan.com/,Reject
CERT47,JMD13,Python,Python,Data Engineering,http://www.larson.com/,Reject
CERT49,JMD14,Big Data,Big Data,Data Science,http://www.martinez.info/,Reject
CERT53,JMD15,Python,Python,Data Science,http://www.thompson.com/,Reject
CERT55,JMD16,GCP,GCP,Cloud,http://www.hutchinson.org/,Reject
CERT57,JMD17,Web Scraping,Web Scraping,Data Engineering,http://www.patterson.com/,Reject
CERT58,JMD17,DBT,DBT,Data Engineering,http://adkins.net/,Reject
CERT59,JMD17,Data Bricks,Data Bricks,Data Engineering,http://www.gonzales.com/,Reject
CERT62,JMD18,AWS,AWS,Cloud,https://www.lucas-figueroa.biz/,Reject
CERT64,JMD19,Node,Node,Development,https://www.campbell.org/,Reject
CERT65,JMD19,Applied ML,Applied ML,Data Science,https://www.moore-campbell.com/,Reject
CERT68,JMD20,AWS,AWS,Cloud,http://hill.com/,Reject
CERT70,JMD21,AWS,AWS,Cloud,https://www.lewis.com/,Reject
CERT71,JMD22,Angular,Angular,Development,http://smith.biz/,Reject
CERT78,JMD25,Reactjs,Reactjs,Development,https://www.george-thomas.com/,Reject
CERT80,JMD25,MySQL,MySQL,Data Engineering,http://www.nelson.info/,Reject
CERT81,JMD25,Python,Python,Data Engineering,https://www.andrews.info/,Reject
CERT83,JMD26,DBT,DBT,Data Engineering,http://www.snow.com/,Reject
CERT84,JMD26,Python,Python,Data Engineering,http://www.dickerson.com/,Reject
CERT90,JMD29,GCP,GCP,Cloud,http://www.wilson-kelly.com/,Reject
CERT94,JMD31,Flutter,Flutter,Development,http://pham.biz/,Reject
CERT95,JMD32,Python,Python,Data Engineering,http://www.reyes.com/,Reject
CERT97,JMD32,DBT,DBT,Data Engineering,https://www.blackburn-ortiz.com/,Reject
CERT98,JMD32,Node,Node,Development,http://www.simmons.net/,Reject
CERT99,JMD32,Angular,Angular,Development,https://hunter-graves.info/,Reject
CERT100,JMD32,Flutter,Flutter,Development,http://www.ross-harrison.com/,Reject
CERT101,JMD33,Next Js,Next Js,Development,http://howard.com/,Reject
CERT103,JMD33,Flutter,Flutter,Development,https://hunt.com/,Reject
CERT104,JMD34,Azure,Azure,Cloud,https://goodwin.org/,Reject
CERT105,JMD34,Angular,Angular,Development,http://www.dalton.com/,Reject
CERT107,JMD34,Flutter,Flutter,Development,http://www.atkins-farley.com/,Reject
CERT108,JMD35,Python,Python,Data Engineering,http://best.com/,Reject
CERT111,JMD35,AWS,AWS,Cloud,http://baker.com/,Reject
CERT112,JMD35,Redis,Redis,Cloud,http://baird.com/,Reject
CERT113,JMD36,Python,Python,Data Science,https://kennedy-davis.com/,Reject
CERT114,JMD36,Applied ML,Applied ML,Data Science,https://www.johnston-parker.org/,Reject
CERT118,JMD38,GCP,GCP,Cloud,https://brooks-reed.biz/,Reject
CERT122,JMD39,DBT,DBT,Data Engineering,http://www.rich.com/,Reject
CERT126,JMD40,Applied ML,Applied ML,Data Science,https://www.jennings.com/,Reject
CERT127,JMD41,Azure,Azure,Cloud,http://www.odom.com/,Reject
CERT128,JMD42,AWS,AWS,Cloud,https://www.livingston.com/,Reject
CERT129,JMD43,Applied ML,Applied ML,Data Science,https://www.daniels.com/,Reject
CERT130,JMD43,Reactjs,Reactjs,Development,https://cuevas.com/,Reject
CERT131,JMD43,Next Js,Next Js,Development,http://www.hunter-johnson.com/,Reject
CERT134,JMD44,AWS,AWS,Cloud,https://www.huff.com/,Reject
