id,employeeId,assessmentId,courseName,skill,courseDepartment,testScore,status,noOfAttempts
SKS1,JMD1,ASSESS1,Angular,Angular,Development,35.75767918088737,Reject,1
SKS3,JMD1,ASSESS2,Python,Python,Data Science,11.0,Reject,2
SKS4,JMD1,ASSESS3,Node,Node,Development,56.0,Reject,3
SKS6,JMD1,ASSESS4,Redis,Redis,Cloud,46.0,Reject,3
SKS7,JMD1,ASSESS4,GCP,GCP,Cloud,20.0,Reject,2
SKS9,JMD1,ASSESS5,Azure,Azure,Cloud,60.0,Reject,3
SKS10,JMD2,ASSESS1,Big Data,Big Data,Data Science,52.0,Reject,3
SKS11,JMD2,ASSESS2,Azure,Azure,Cloud,35.62128325508607,Reject,2
SKS12,JMD2,ASSESS2,Redis,Redis,Cloud,63.0,Reject,3
SKS14,JMD2,ASSESS3,Python,Python,Data Engineering,4.0,Reject,2
SKS20,JMD3,ASSESS2,Big Data,Big Data,Data Science,65.0,Reject,3
SKS22,JMD3,ASSESS3,Data Bricks,Data Bricks,Data Engineering,46.0,Reject,1
SKS27,JMD3,ASSESS5,React Native,React Native,Development,16.0,Reject,2
SKS29,JMD3,ASSESS5,Node,Node,Development,23.0,Reject,3
SKS32,JMD4,ASSESS1,MySQL,MySQL,Data Engineering,23.0,Reject,3
SKS36,JMD4,ASSESS3,Applied ML,Applied ML,Data Science,21.0,Reject,2
SKS38,JMD4,ASSESS5,Azure,Azure,Cloud,48.0,Reject,1
SKS41,JMD5,ASSESS1,Big Data,Big Data,Data Science,48.0,Reject,3
SKS44,JMD5,ASSESS3,Redis,Redis,Cloud,41.0,Reject,2
SKS46,JMD5,ASSESS4,GCP,GCP,Cloud,55.0,Reject,3
SKS47,JMD5,ASSESS4,AWS,AWS,Cloud,5.0,Reject,1
SKS48,JMD5,ASSESS5,Applied ML,Applied ML,Data Science,64.0,Reject,3
SKS50,JMD6,ASSESS2,Reactjs,Reactjs,Development,41.0,Reject,2
SKS53,JMD6,ASSESS4,DBT,DBT,Data Engineering,68.0,Reject,2
SKS54,JMD6,ASSESS5,Reactjs,Reactjs,Development,26.0,Reject,1
SKS55,JMD7,ASSESS1,Python,Python,Data Science,63.0,Reject,1
SKS56,JMD7,ASSESS1,Applied ML,Applied ML,Data Science,44.0,Reject,3
SKS58,JMD7,ASSESS2,Applied ML,Applied ML,Data Science,62.0,Reject,1
SKS60,JMD7,ASSESS3,React Native,React Native,Development,67.0,Reject,3
SKS63,JMD7,ASSESS4,Redis,Redis,Cloud,18.0,Reject,1
SKS66,JMD8,ASSESS2,Python,Python,Data Science,32.0,Reject,2
SKS67,JMD8,ASSESS2,Big Data,Big Data,Data Science,59.0,Reject,3
SKS70,JMD8,ASSESS4,React Native,React Native,Development,61.0,Reject,3
SKS72,JMD8,ASSESS5,Azure,Azure,Cloud,41.0,Reject,3
SKS73,JMD8,ASSESS5,Redis,Redis,Cloud,39.0,Reject,1
SKS76,JMD9,ASSESS1,Redis,Redis,Cloud,53.0,Reject,3
SKS78,JMD9,ASSESS3,React Native,React Native,Development,56.0,Reject,1
SKS79,JMD9,ASSESS4,Data Bricks,Data Bricks,Data Engineering,10.0,Reject,3
SKS82,JMD10,ASSESS2,AWS,AWS,Cloud,54.0,Reject,2
SKS85,JMD10,ASSESS3,GCP,GCP,Cloud,21.0,Reject,3
SKS86,JMD10,ASSESS4,Redis,Redis,Cloud,55.0,Reject,1
SKS88,JMD10,ASSESS5,AWS,AWS,Cloud,54.0,Reject,3
SKS89,JMD10,ASSESS5,GCP,GCP,Cloud,13.0,Reject,2
SKS90,JMD11,ASSESS1,Reactjs,Reactjs,Development,31.0,Reject,2
SKS92,JMD11,ASSESS2,Python,Python,Data Science,45.0,Reject,1
SKS93,JMD11,ASSESS2,Applied ML,Applied ML,Data Science,38.0,Reject,2
SKS96,JMD11,ASSESS4,Applied ML,Applied ML,Data Science,43.0,Reject,3
SKS97,JMD11,ASSESS4,Big Data,Big Data,Data Science,36.0,Reject,1
SKS100,JMD12,ASSESS1,SnowFlake,SnowFlake,Data Engineering,68.0,Reject,2
SKS101,JMD12,ASSESS1,Web Scraping,Web Scraping,Data Engineering,45.0,Reject,2
SKS102,JMD12,ASSESS1,Python,Python,Data Engineering,25.0,Reject,3
SKS103,JMD12,ASSESS2,Redis,Redis,Cloud,61.0,Reject,3
SKS104,JMD12,ASSESS3,Python,Python,Data Science,35.0,Reject,1
SKS105,JMD12,ASSESS3,Big Data,Big Data,Data Science,70.0,Reject,1
SKS106,JMD12,ASSESS3,Applied ML,Applied ML,Data Science,43.0,Reject,3
SKS110,JMD12,ASSESS5,Reactjs,Reactjs,Development,39.0,Reject,3
SKS112,JMD13,ASSESS2,Angular,Angular,Development,42.0,Reject,1
SKS114,JMD13,ASSESS3,Python,Python,Data Science,28.0,Reject,2
SKS117,JMD13,ASSESS5,Angular,Angular,Development,12.0,Reject,2
SKS118,JMD14,ASSESS1,React Native,React Native,Development,12.0,Reject,1
SKS121,JMD14,ASSESS2,Azure,Azure,Cloud,40.0,Reject,1
SKS122,JMD14,ASSESS2,AWS,AWS,Cloud,14.0,Reject,3
SKS126,JMD14,ASSESS4,Python,Python,Data Science,35.0,Reject,1
SKS127,JMD14,ASSESS4,Applied ML,Applied ML,Data Science,51.0,Reject,3
SKS131,JMD15,ASSESS1,Laravel,Laravel,Development,41.0,Reject,2
SKS132,JMD15,ASSESS1,React Native,React Native,Development,62.0,Reject,2
SKS138,JMD15,ASSESS4,Big Data,Big Data,Data Science,2.0,Reject,1
SKS139,JMD15,ASSESS4,Applied ML,Applied ML,Data Science,23.0,Reject,2
SKS141,JMD15,ASSESS5,Redis,Redis,Cloud,57.0,Reject,2
