id,employeeId,Skillset,courseDepartment,Certificate_score
SK1,JMD1,Applied ML,Data Science,85.5
SK2,JMD100,GCP,Cloud,85.5
SK3,JMD101,Azure,Cloud,85.5
SK4,JMD103,Redis,Cloud,85.5
SK5,JMD103,"SnowFlake, Python",Data Engineering,171.0
SK6,JMD104,Reactjs,Development,85.5
SK7,JMD107,"GCP, AWS",Cloud,171.0
SK8,JMD107,Python,Data Science,85.5
SK9,JMD108,Applied ML,Data Science,85.5
SK10,JMD109,"Web Scraping, MySQL",Data Engineering,171.0
SK11,JMD11,SnowFlake,Data Engineering,85.5
SK12,JMD110,AWS,Cloud,85.5
SK13,JMD111,Python,Data Engineering,85.5
SK14,JMD112,"Azure, Redis, AWS",Cloud,256.5
SK15,JMD113,Redis,Cloud,85.5
SK16,JMD115,"Python, SnowFlake",Data Engineering,171.0
SK17,JMD116,Node,Development,85.5
SK18,JMD117,MySQL,Data Engineering,85.5
SK19,JMD118,"Azure, AWS",Cloud,171.0
SK20,JMD119,Applied ML,Data Science,85.5
SK21,JMD120,MySQL,Data Engineering,85.5
SK22,JMD120,"React Native, Angular",Development,171.0
SK23,JMD121,SnowFlake,Data Engineering,85.5
SK24,JMD121,Python,Data Science,85.5
SK25,JMD122,Reactjs,Development,85.5
SK26,JMD124,Python,Data Science,85.5
SK27,JMD125,Next Js,Development,85.5
SK28,JMD126,"Web Scraping, DBT",Data Engineering,171.0
SK29,JMD126,"Applied ML, Big Data",Data Science,171.0
SK30,JMD127,Angular,Development,85.5
SK31,JMD128,"Redis, GCP, AWS",Cloud,256.5
SK32,JMD129,"Python, Big Data",Data Science,171.0
SK33,JMD129,"Flutter, React Native",Development,171.0
SK34,JMD13,"Applied ML, Python",Data Science,171.0
SK35,JMD130,MySQL,Data Engineering,85.5
SK36,JMD132,Redis,Cloud,85.5
SK37,JMD132,Applied ML,Data Science,85.5
SK38,JMD133,Web Scraping,Data Engineering,85.5
SK39,JMD133,Angular,Development,85.5
SK40,JMD134,AWS,Cloud,85.5
SK41,JMD134,Next Js,Development,85.5
SK42,JMD135,"Python, Big Data, Applied ML",Data Science,256.5
SK43,JMD136,"GCP, AWS, Redis",Cloud,256.5
SK44,JMD137,"MySQL, Python",Data Engineering,171.0
SK45,JMD137,Flutter,Development,85.5
SK46,JMD138,GCP,Cloud,85.5
SK47,JMD138,"Applied ML, Big Data",Data Science,171.0
SK48,JMD14,Applied ML,Data Science,85.5
SK49,JMD14,"Next Js, React Native, Node",Development,256.5
SK50,JMD141,Applied ML,Data Science,85.5
SK51,JMD142,DBT,Data Engineering,85.5
SK52,JMD143,"Python, Big Data, Applied ML",Data Science,256.5
SK53,JMD144,GCP,Cloud,85.5
SK54,JMD144,Applied ML,Data Science,85.5
SK55,JMD145,Azure,Cloud,85.5
SK56,JMD145,"Big Data, Python",Data Science,171.0
SK57,JMD146,"GCP, Azure",Cloud,171.0
SK58,JMD148,Redis,Cloud,85.5
SK59,JMD148,"Data Bricks, DBT, Python",Data Engineering,256.5
SK60,JMD149,Python,Data Science,85.5
SK61,JMD150,"Python, Big Data, Applied ML",Data Science,256.5
SK62,JMD152,"Data Bricks, SnowFlake",Data Engineering,171.0
SK63,JMD153,Data Bricks,Data Engineering,85.5
SK64,JMD153,"Laravel, Reactjs",Development,171.0
SK65,JMD154,Python,Data Science,85.5
SK66,JMD155,"SnowFlake, DBT",Data Engineering,171.0
SK67,JMD156,Python,Data Science,85.5
SK68,JMD158,Python,Data Science,85.5
SK69,JMD159,"Flutter, Laravel",Development,171.0
SK70,JMD16,"Azure, AWS",Cloud,171.0
SK71,JMD160,Big Data,Data Science,85.5
SK72,JMD160,"Laravel, Node",Development,171.0
SK73,JMD162,Big Data,Data Science,85.5
SK74,JMD164,Angular,Development,85.5
SK75,JMD165,DBT,Data Engineering,85.5
SK76,JMD166,GCP,Cloud,85.5
SK77,JMD166,Big Data,Data Science,85.5
SK78,JMD167,Big Data,Data Science,85.5
SK79,JMD167,Next Js,Development,85.5
SK80,JMD169,Next Js,Development,85.5
SK81,JMD170,"GCP, AWS",Cloud,171.0
SK82,JMD171,Data Bricks,Data Engineering,85.5
SK83,JMD173,Laravel,Development,85.5
SK84,JMD174,Redis,Cloud,85.5
SK85,JMD175,Azure,Cloud,85.5
SK86,JMD176,React Native,Development,85.5
SK87,JMD177,Node,Development,85.5
SK88,JMD178,Next Js,Development,85.5
SK89,JMD179,Node,Development,85.5
SK90,JMD18,GCP,Cloud,85.5
SK91,JMD18,Applied ML,Data Science,85.5
SK92,JMD180,Redis,Cloud,85.5
SK93,JMD180,Flutter,Development,85.5
SK94,JMD182,Data Bricks,Data Engineering,85.5
SK95,JMD183,"Next Js, React Native, Laravel",Development,256.5
SK96,JMD184,Redis,Cloud,85.5
SK97,JMD184,"Big Data, Applied ML",Data Science,171.0
SK98,JMD185,"Big Data, Python",Data Science,171.0
SK99,JMD186,Redis,Cloud,85.5
SK100,JMD187,"Python, Big Data",Data Science,171.0
SK101,JMD188,"Python, Applied ML, Big Data",Data Science,256.5
SK102,JMD189,Big Data,Data Science,85.5
SK103,JMD19,"Python, Big Data",Data Science,171.0
SK104,JMD19,Flutter,Development,85.5
SK105,JMD190,"Web Scraping, Python, MySQL",Data Engineering,256.5
SK106,JMD191,"DBT, Data Bricks",Data Engineering,171.0
SK107,JMD192,"Laravel, Node",Development,171.0
SK108,JMD193,SnowFlake,Data Engineering,85.5
SK109,JMD194,"Web Scraping, Data Bricks, Python",Data Engineering,256.5
SK110,JMD195,Big Data,Data Science,85.5
SK111,JMD195,Next Js,Development,85.5
SK112,JMD197,SnowFlake,Data Engineering,85.5
SK113,JMD198,"DBT, Python",Data Engineering,171.0
SK114,JMD198,Python,Data Science,85.5
SK115,JMD199,"Big Data, Python",Data Science,171.0
SK116,JMD2,Applied ML,Data Science,85.5
SK117,JMD20,Azure,Cloud,85.5
SK118,JMD200,"GCP, Azure",Cloud,171.0
SK119,JMD201,"MySQL, SnowFlake",Data Engineering,171.0
SK120,JMD203,"AWS, Redis",Cloud,171.0
