id,employeeId,courseName,skills,courseDepartment,certificationLink,status
CERT1,JMD1,Applied ML,Applied ML,Data Science,http://www.campos.com/,Accept
CERT2,JMD1,Big Data,Big Data,Data Science,https://wagner.com/,Reject
CERT3,JMD1,GCP,GCP,Cloud,https://jackson.biz/,Reject
CERT4,JMD1,Redis,Redis,Cloud,http://www.white.com/,Reject
CERT5,JMD2,Applied ML,Applied ML,Data Science,http://fleming.com/,Accept
CERT6,JMD2,Laravel,Laravel,Development,http://butler-elliott.info/,Reject
CERT7,JMD3,Web Scraping,Web Scraping,Data Engineering,https://www.quinn.biz/,Reject
CERT8,JMD3,DBT,DBT,Data Engineering,https://www.murray.biz/,Accept
CERT9,JMD3,AWS,AWS,Cloud,http://russell.info/,Accept
CERT10,JMD4,MySQL,MySQL,Data Engineering,http://www.gomez-rodriguez.biz/,Reject
CERT11,JMD4,Redis,Redis,Cloud,https://wilson-pierce.com/,Reject
CERT12,JMD4,AWS,AWS,Cloud,http://morris-kline.info/,Reject
CERT13,JMD5,Redis,Redis,Cloud,http://anderson.com/,Reject
CERT14,JMD5,Azure,Azure,Cloud,http://ramirez-morgan.com/,Accept
CERT15,JMD5,GCP,GCP,Cloud,https://www.bell.com/,Accept
CERT16,JMD5,Applied ML,Applied ML,Data Science,http://williams.com/,Reject
CERT17,JMD5,Big Data,Big Data,Data Science,https://www.kelly-morgan.net/,Reject
CERT18,JMD5,Python,Python,Data Science,https://www.mccall.info/,Accept
CERT19,JMD6,Web Scraping,Web Scraping,Data Engineering,http://ramsey-ellis.com/,Accept
CERT20,JMD6,SnowFlake,SnowFlake,Data Engineering,https://mcdonald.org/,Accept
CERT21,JMD6,Azure,Azure,Cloud,http://carlson-butler.com/,Reject
CERT22,JMD6,Redis,Redis,Cloud,https://www.cox-davis.net/,Reject
CERT23,JMD6,GCP,GCP,Cloud,https://www.edwards.info/,Accept
CERT24,JMD7,Angular,Angular,Development,http://www.gill-johnson.com/,Accept
CERT25,JMD7,Big Data,Big Data,Data Science,https://www.soto.com/,Accept
CERT26,JMD7,Python,Python,Data Science,http://www.collins-miller.biz/,Accept
