id,employeeId,assessmentId,courseName,skill,courseDepartment,testScore,status,noOfAttempts
SKS1,JMD1,ASSESS1,Angular,Angular,Development,35.75767918088737,Reject,1
SKS2,JMD1,ASSESS1,Flutter,Flutter,Development,85.5031545741325,Accept,3
SKS3,JMD1,ASSESS2,Python,Python,Data Science,11,Reject,2
SKS4,JMD1,ASSESS3,Node,Node,Development,56,Reject,3
SKS5,JMD1,ASSESS3,Reactjs,Reactjs,Development,89,Accept,3
SKS6,JMD1,ASSESS4,Redis,Redis,Cloud,46,Reject,3
SKS7,JMD1,ASSESS4,GCP,GCP,Cloud,20,Reject,2
SKS8,JMD1,ASSESS4,Azure,Azure,Cloud,76,Accept,1
SKS9,JMD1,ASSESS5,Azure,Azure,Cloud,60,Reject,3
SKS10,JMD2,ASSESS1,Big Data,Big Data,Data Science,52,Reject,3
SKS11,JMD2,ASSESS2,Azure,Azure,Cloud,35.62128325508607,Reject,2
SKS12,JMD2,ASSESS2,Redis,Redis,Cloud,63,Reject,3
SKS13,JMD2,ASSESS3,SnowFlake,SnowFlake,Data Engineering,92,Accept,3
SKS14,JMD2,ASSESS3,Python,Python,Data Engineering,4,Reject,2
SKS15,JMD2,ASSESS4,Azure,Azure,Cloud,98,Accept,2
SKS16,JMD2,ASSESS4,Redis,Redis,Cloud,81,Accept,2
SKS17,JMD2,ASSESS4,GCP,GCP,Cloud,86,Accept,3
SKS18,JMD2,ASSESS5,Flutter,Flutter,Development,89,Accept,1
SKS19,JMD3,ASSESS1,Big Data,Big Data,Data Science,75,Accept,1
SKS20,JMD3,ASSESS2,Big Data,Big Data,Data Science,65,Reject,3
SKS21,JMD3,ASSESS2,Python,Python,Data Science,90,Accept,1
SKS22,JMD3,ASSESS3,Data Bricks,Data Bricks,Data Engineering,46,Reject,1
SKS23,JMD3,ASSESS3,Python,Python,Data Engineering,73,Accept,1
SKS24,JMD3,ASSESS3,Web Scraping,Web Scraping,Data Engineering,84,Accept,1
SKS25,JMD3,ASSESS4,Big Data,Big Data,Data Science,100,Accept,3
SKS26,JMD3,ASSESS4,Applied ML,Applied ML,Data Science,89,Accept,2
SKS27,JMD3,ASSESS5,React Native,React Native,Development,16,Reject,2
SKS28,JMD3,ASSESS5,Reactjs,Reactjs,Development,73,Accept,3
SKS29,JMD3,ASSESS5,Node,Node,Development,23,Reject,3
SKS30,JMD4,ASSESS1,Web Scraping,Web Scraping,Data Engineering,82,Accept,1
SKS31,JMD4,ASSESS1,Data Bricks,Data Bricks,Data Engineering,96,Accept,3
SKS32,JMD4,ASSESS1,MySQL,MySQL,Data Engineering,23,Reject,3
SKS33,JMD4,ASSESS2,GCP,GCP,Cloud,99,Accept,3
